"","team","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S"
"111","Hawaii",11,19,0.367,-5.32,-2.42,2111,2198,0.96041856232939,NA,0.532
"112","High Point",17,14,0.548,-5.1,-6.41,2201,1944,1.13220164609054,NA,0.568
"113","Hofstra",12,18,0.4,-5.93,-3,1989,2077,0.957631198844487,NA,0.513
"114","Holy Cross",15,14,0.517,-2.67,-3.6,1781,1754,1.01539338654504,NA,0.531
"115","Houston",24,10,0.706,8.4,-0.16,2681,2390,1.12175732217573,NA,0.541
"116","Howard",6,26,0.188,-22.46,-7.73,1817,2268,0.801146384479718,NA,0.487
"117","Idaho State",12,19,0.387,-12,-2.14,1856,2130,0.871361502347418,NA,0.515
"118","Idaho",8,21,0.276,-10.75,-1.04,1879,2077,0.904670197400096,NA,0.509
"119","Illinois-Chicago",18,15,0.545,3.04,0.64,2246,2143,1.04806346243584,NA,0.54
"120","Illinois State",25,10,0.714,8.64,3.44,2286,2076,1.10115606936416,NA,0.543
"121","Illinois",16,19,0.457,10.98,8.46,2227,2139,1.0411407199626,NA,0.51
"122","Indiana State",15,16,0.484,1.48,4.11,2019,2065,0.97772397094431,NA,0.524
"123","Indiana",25,8,0.758,15.78,6.08,2476,2156,1.14842300556586,NA,0.569
"124","Iona",12,20,0.375,-6.71,-3.27,2099,2209,0.950203712086917,NA,0.52
"125","Iowa State",14,18,0.438,3.97,7.97,2048,2100,0.975238095238095,NA,0.51
"126","Iowa",13,19,0.406,2.77,5.23,1794,1857,0.966074313408724,NA,0.526
"127","IPFW",13,18,0.419,-5.25,0.96,2135,2171,0.983417779824965,NA,0.558
"128","IUPUI",26,7,0.788,5.13,-2.41,2510,2132,1.17729831144465,NA,0.61
"129","Jackson State",14,20,0.412,-16.14,-10.78,2340,2522,0.927835051546392,NA,0.498
"130","Jacksonville State",7,22,0.241,-15.34,-8.59,2098,2251,0.932030208796091,NA,0.532
"131","Jacksonville",18,13,0.581,-8.09,-3.61,2248,2260,0.994690265486726,NA,0.536
"132","James Madison",13,17,0.433,-5.13,-4.09,2188,2219,0.986029743127535,NA,0.551
"133","Kansas State",21,12,0.636,15.79,7.79,2574,2274,1.13192612137203,NA,0.529
"134","Kansas",37,3,0.925,26.9,8.2,3221,2460,1.30934959349593,NA,0.592
"135","Kent State",28,7,0.8,7.47,0.41,2412,2165,1.11408775981524,NA,0.558
"136","Kentucky",18,13,0.581,9.19,7.09,2124,2034,1.04424778761062,NA,0.567
"137","La Salle",15,17,0.469,-0.19,2.08,2424,2439,0.993849938499385,NA,0.546
"138","Lafayette",15,15,0.5,-4.57,-4.68,2247,2219,1.01261829652997,NA,0.565
"139","Lamar",19,11,0.633,-2.41,-4.1,2445,2206,1.10834088848595,NA,0.562
"140","Lehigh",14,15,0.483,-7.74,-5.82,1850,1895,0.976253298153034,NA,0.508
"141","Liberty",16,16,0.5,-6.1,-5.96,2222,2133,1.04172526957337,NA,0.581
"142","Lipscomb",15,16,0.484,-4.97,-4.88,2216,2175,1.01885057471264,NA,0.529
"143","Long Beach State",6,25,0.194,-12.89,-2.92,1944,2242,0.867082961641392,NA,0.534
"144","Long Island University",15,15,0.5,-6.02,-6.72,2172,2151,1.00976290097629,NA,0.501
"145","Longwood",9,22,0.29,-18.73,-4.92,2120,2394,0.885547201336675,NA,0.5
"146","Louisiana-Lafayette",15,15,0.5,-3.67,-2.1,1951,1975,0.987848101265823,NA,0.509
"147","Louisiana-Monroe",10,21,0.323,-8.28,-0.39,2108,2243,0.939812750780205,NA,0.54
"148","Louisiana State",13,18,0.419,4.99,5.66,2131,2145,0.993473193473194,NA,0.52
"149","Louisiana Tech",6,24,0.2,-15.42,-4.35,1824,2155,0.846403712296984,NA,0.49
"150","Louisville",27,9,0.75,19,8,2611,2215,1.17878103837472,NA,0.553
"151","Loyola (IL)",12,19,0.387,-4.14,0.55,1900,1976,0.961538461538462,NA,0.49
"152","Loyola Marymount",5,26,0.161,-16.94,-0.05,1918,2435,0.787679671457906,NA,0.485
"153","Loyola (MD)",19,14,0.576,-2.85,-3.2,2365,2336,1.01241438356164,NA,0.552
"154","Maine",7,23,0.233,-16.25,-4.89,1912,2157,0.886416318961521,NA,0.502
"155","Manhattan",12,19,0.387,-7.98,-4.61,2147,2206,0.973254759746147,NA,0.518
"156","Marist",18,14,0.563,-0.68,-1.83,2237,2200,1.01681818181818,NA,0.544
"157","Marquette",25,10,0.714,18.62,8.09,2658,2269,1.17144116350815,NA,0.541
"158","Marshall",16,14,0.533,2.17,2.17,2018,1971,1.02384576357179,NA,0.519
"159","Maryland-Baltimore County",24,9,0.727,0.06,-4.53,2450,2258,1.08503100088574,NA,0.549
"160","Maryland-Eastern Shore",4,28,0.125,-23.75,-7.82,1878,2394,0.784461152882206,NA,0.433
"161","Maryland",19,15,0.559,9.74,7.28,2483,2373,1.04635482511589,NA,0.543
